R_fighter,B_fighter,Referee,date,location,Winner,title_bout,weight_class,B_wins,B_losses,B_draw,R_wins,R_losses,R_draw,B_Stance,R_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Adrian Yanez,Gustavo Lopez,Chris Tognoni,03/20_2021,"Las Vegas, Nevada, USA",Red,False,Bantamweight,1,1,0,1,0,0,Orthodox,Orthodox,165.1,170.18,135.0,170.18,177.8,135.0,31.0,27.0
Trevin Giles,Roman Dolidze,Herb Dean,03/20_2021,"Las Vegas, Nevada, USA",Red,False,Middleweight,2,0,0,4,2,0,Orthodox,Orthodox,187.96,193.04,205.0,182.88,187.96,185.0,32.0,28.0
Tai Tuivasa,Harry Hunsucker,Herb Dean,03/20_2021,"Las Vegas, Nevada, USA",Red,False,Heavyweight,0,0,0,4,3,0,Orthodox,Southpaw,187.96,190.5,241.0,187.96,190.5,264.0,32.0,28.0
Cheyanne Buys,Montserrat Conejo,Mark Smith,03/20_2021,"Las Vegas, Nevada, USA",Blue,False,WomenStrawweight,0,0,0,0,0,0,Southpaw,Switch,152.4,154.94,115.0,160.02,160.02,115.0,28.0,25.0
Marion Reneau,Macy Chiasson,Mark Smith,03/20_2021,"Las Vegas, Nevada, USA",Blue,False,WomenBantamweight,4,1,0,5,6,0,Orthodox,Orthodox,180.34,182.88,135.0,167.64,172.72,135.0,29.0,43.0
Leonardo Santos,Grant Dawson,Chris Tognoni,03/20_2021,"Las Vegas, Nevada, USA",Blue,False,Lightweight,4,0,0,7,1,0,Switch,Orthodox,177.8,182.88,145.0,182.88,190.5,155.0,27.0,41.0
Song Kenan,Max Griffin,Keith Peterson,03/20_2021,"Las Vegas, Nevada, USA",Blue,False,Welterweight,4,6,0,4,1,0,Orthodox,Orthodox,180.34,193.04,170.0,182.88,180.34,170.0,35.0,31.0
Derek Brunson,Kevin Holland,Herb Dean,03/20_2021,"Las Vegas, Nevada, USA",Red,False,Middleweight,8,2,0,12,5,0,Orthodox,Southpaw,190.5,205.74,185.0,185.42,195.58,185.0,28.0,37.0
Montel Jackson,Jesse Strader,Keith Peterson,03/20_2021,"Las Vegas, Nevada, USA",Red,False,Bantamweight,0,0,0,3,2,0,Orthodox,Southpaw,170.18,177.8,135.0,177.8,190.5,135.0,29.0,28.0
Misha Cirkunov,Ryan Spann,Mark Smith,03/13_2021,"Las Vegas, Nevada, USA",Blue,False,LightHeavyweight,4,1,0,6,3,0,Orthodox,Orthodox,195.58,200.66,205.0,190.5,195.58,205.0,29.0,34.0
Leon Edwards,Belal Muhammad,Herb Dean,03/13_2021,"Las Vegas, Nevada, USA",Draw,False,Welterweight,9,3,0,10,2,0,Orthodox,Southpaw,180.34,182.88,170.0,187.96,187.96,170.0,32.0,29.0
Charles Jourdain,Marcelo Rojo,Mark Smith,03/13_2021,"Las Vegas, Nevada, USA",Red,False,Featherweight,0,0,0,1,3,0,Orthodox,Switch,172.72,180.34,145.0,175.26,175.26,145.0,32.0,25.0
Eryk Anders,Darren Stewart,Herb Dean,03/13_2021,"Las Vegas, Nevada, USA",Draw,False,Middleweight,5,6,0,5,5,0,Orthodox,Southpaw,182.88,187.96,185.0,185.42,190.5,185.0,30.0,33.0
Angela Hill,Ashley Yoder,Mike Beltran,03/13_2021,"Las Vegas, Nevada, USA",Red,False,WomenStrawweight,3,5,0,7,9,0,Southpaw,Orthodox,170.18,175.26,115.0,160.02,162.56,115.0,33.0,36.0
Jonathan Martinez,Davey Grant,Chris Tognoni,03/13_2021,"Las Vegas, Nevada, USA",Blue,False,Bantamweight,3,3,0,4,2,0,Orthodox,Southpaw,172.72,175.26,135.0,172.72,177.8,135.0,35.0,26.0
Dan Ige,Gavin Tucker,Mike Beltran,03/13_2021,"Las Vegas, Nevada, USA",Red,False,Featherweight,4,1,0,6,2,0,Southpaw,Orthodox,167.64,167.64,145.0,170.18,180.34,145.0,34.0,29.0
Nasrat Haqparast,Rafa Garcia,Chris Tognoni,03/13_2021,"Las Vegas, Nevada, USA",Red,False,Lightweight,0,0,0,4,2,0,Orthodox,Southpaw,170.18,177.8,155.0,177.8,182.88,155.0,26.0,25.0
Cortney Casey,JJ Aldrich,Mark Smith,03/13_2021,"Las Vegas, Nevada, USA",Blue,False,WomenFlyweight,4,3,0,5,7,0,Southpaw,Orthodox,165.1,170.18,125.0,170.18,170.18,125.0,28.0,33.0
Matthew Semelsberger,Jason Witt,Chris Tognoni,03/13_2021,"Las Vegas, Nevada, USA",Red,False,Welterweight,1,1,0,1,0,0,Orthodox,Switch,177.8,177.8,170.0,185.42,190.5,170.0,34.0,28.0
Rani Yahya,Ray Rodriguez,Herb Dean,03/13_2021,"Las Vegas, Nevada, USA",Red,False,Bantamweight,0,1,0,11,6,0,Orthodox,Orthodox,170.18,177.8,135.0,167.64,170.18,135.0,33.0,36.0
Gloria de Paula,Jinh Yu Frey,Mike Beltran,03/13_2021,"Las Vegas, Nevada, USA",Blue,False,WomenStrawweight,0,2,0,0,0,0,Southpaw,Orthodox,160.02,165.1,115.0,165.1,170.18,115.0,35.0,25.0
Dominick Cruz,Casey Kenney,Jason Herzog,03/06_2021,"Las Vegas, Nevada, USA",Red,False,Bantamweight,5,1,0,5,2,0,Southpaw,Orthodox,170.18,172.72,140.0,172.72,172.72,135.0,29.0,35.0
Song Yadong,Kyler Phillips,Mark Smith,03/06_2021,"Las Vegas, Nevada, USA",Blue,False,Bantamweight,2,0,0,5,1,0,Orthodox,Orthodox,172.72,182.88,135.0,172.72,170.18,145.0,25.0,23.0
Petr Yan,Aljamain Sterling,Mark Smith,03/06_2021,"Las Vegas, Nevada, USA",Blue,True,Bantamweight,11,3,0,7,0,0,Orthodox,Switch,170.18,180.34,135.0,170.18,170.18,135.0,31.0,28.0
Jan Blachowicz,Israel Adesanya,Herb Dean,03/06_2021,"Las Vegas, Nevada, USA",Red,True,LightHeavyweight,9,0,0,10,5,0,Switch,Orthodox,193.04,203.2,185.0,187.96,198.12,205.0,31.0,38.0
Thiago Santos,Aleksandar Rakic,Herb Dean,03/06_2021,"Las Vegas, Nevada, USA",Blue,False,LightHeavyweight,5,1,0,13,7,0,Orthodox,Orthodox,193.04,198.12,205.0,187.96,193.04,205.0,29.0,37.0
Joseph Benavidez,Askar Askarov,Jason Herzog,03/06_2021,"Las Vegas, Nevada, USA",Blue,False,Flyweight,2,1,0,15,5,0,Orthodox,Southpaw,167.64,170.18,125.0,162.56,165.1,125.0,28.0,36.0
Amanda Nunes,Megan Anderson,Jason Herzog,03/06_2021,"Las Vegas, Nevada, USA",Red,True,WomenFeatherweight,3,2,0,13,1,0,Orthodox,Orthodox,182.88,182.88,145.0,172.72,175.26,145.0,31.0,32.0
Islam Makhachev,Drew Dober,Chris Tognoni,03/06_2021,"Las Vegas, Nevada, USA",Red,False,Lightweight,9,6,0,7,1,0,Southpaw,Southpaw,172.72,177.8,155.0,177.8,177.8,155.0,32.0,29.0
Tim Elliott,Jordan Espinosa,Mark Smith,03/06_2021,"Las Vegas, Nevada, USA",Red,False,Flyweight,2,3,0,5,9,0,Orthodox,Southpaw,167.64,175.26,125.0,170.18,167.64,125.0,31.0,34.0
Livinha Souza,Amanda Lemos,Jason Herzog,03/06_2021,"Las Vegas, Nevada, USA",Blue,False,WomenStrawweight,2,1,0,3,1,0,Southpaw,Orthodox,162.56,165.1,115.0,160.02,160.02,115.0,33.0,29.0
Rogerio Bontorin,Kai Kara-France,Herb Dean,03/06_2021,"Las Vegas, Nevada, USA",Blue,False,Flyweight,4,2,0,2,1,0,Orthodox,Orthodox,162.56,175.26,125.0,165.1,170.18,125.0,27.0,28.0
Uros Medic,Aalon Cruz,Mark Smith,03/06_2021,"Las Vegas, Nevada, USA",Red,False,Lightweight,0,1,0,0,0,0,Switch,Southpaw,182.88,198.12,145.0,185.42,180.34,155.0,31.0,27.0
Kennedy Nzechukwu,Carlos Ulberg,Herb Dean,03/06_2021,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight,0,0,0,1,1,0,Orthodox,Southpaw,193.04,195.58,205.0,195.58,210.82,205.0,30.0,28.0
Sean Brady,Jake Matthews,Chris Tognoni,03/06_2021,"Las Vegas, Nevada, USA",Red,False,Welterweight,10,4,0,3,0,0,Orthodox,Orthodox,180.34,185.42,170.0,177.8,182.88,170.0,26.0,28.0
Mario Bautista,Trevin Jones,Chris Tognoni,03/06_2021,"Las Vegas, Nevada, USA",Blue,False,Bantamweight,0,1,0,2,1,0,Southpaw,Switch,170.18,177.8,140.0,175.26,175.26,135.0,30.0,27.0
Jairzinho Rozenstruik,Ciryl Gane,Herb Dean,02/27_2021,"Las Vegas, Nevada, USA",Blue,False,Heavyweight,4,0,0,5,1,0,Orthodox,Orthodox,193.04,205.74,245.0,193.04,198.12,242.0,30.0,32.0
Montana De La Rosa,Mayra Bueno Silva,Jerin Valel,02/27_2021,"Las Vegas, Nevada, USA",Draw,False,WomenFlyweight,2,1,0,4,2,0,Orthodox,Orthodox,167.64,167.64,135.0,170.18,172.72,125.0,29.0,26.0
Vince Cachero,Ronnie Lawrence,Jerin Valel,02/27_2021,"Las Vegas, Nevada, USA",Blue,False,Bantamweight,0,0,0,0,1,0,Switch,Orthodox,172.72,172.72,135.0,167.64,172.72,145.0,28.0,31.0
Alexander Hernandez,Thiago Moises,Mark Smith,02/27_2021,"Las Vegas, Nevada, USA",Blue,False,Lightweight,3,2,0,4,2,0,Orthodox,Orthodox,175.26,177.8,155.0,175.26,182.88,155.0,25.0,28.0
Pedro Munhoz,Jimmie Rivera,Herb Dean,02/27_2021,"Las Vegas, Nevada, USA",Red,False,Bantamweight,7,3,0,8,6,0,Orthodox,Orthodox,162.56,172.72,135.0,167.64,165.1,135.0,31.0,34.0
Alex Caceres,Kevin Croom,Chris Tognoni,02/27_2021,"Las Vegas, Nevada, USA",Red,False,Featherweight,0,1,0,12,11,0,Orthodox,Southpaw,180.34,185.42,155.0,177.8,185.42,145.0,33.0,32.0
Alexis Davis,Sabina Mazo,Chris Tognoni,02/27_2021,"Las Vegas, Nevada, USA",Red,False,WomenBantamweight,3,1,0,6,5,0,Orthodox,Orthodox,170.18,177.8,135.0,167.64,172.72,135.0,23.0,36.0
Nikita Krylov,Magomed Ankalaev,Mark Smith,02/27_2021,"Las Vegas, Nevada, USA",Blue,False,LightHeavyweight,5,1,0,8,5,0,Orthodox,Orthodox,190.5,190.5,205.0,190.5,195.58,205.0,28.0,28.0
Dustin Jacoby,Maxim Grishin,Chris Tognoni,02/27_2021,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight,1,1,0,1,2,0,Orthodox,Orthodox,190.5,198.12,220.0,190.5,193.04,205.0,36.0,32.0
Aleksei Oleinik,Chris Daukaus,Herb Dean,02/20_2021,"Las Vegas, Nevada, USA",Blue,False,Heavyweight,2,0,0,8,5,0,Orthodox,Orthodox,190.5,193.04,250.0,187.96,203.2,240.0,31.0,43.0
Charles Rosa,Darrick Minner,Mark Smith,02/20_2021,"Las Vegas, Nevada, USA",Blue,False,Featherweight,1,1,0,4,4,0,Orthodox,Switch,170.18,175.26,145.0,175.26,175.26,145.0,30.0,34.0
Phil Hawes,Nassourdine Imavov,Chris Tognoni,02/20_2021,"Las Vegas, Nevada, USA",Red,False,Middleweight,1,0,0,1,0,0,Orthodox,Orthodox,190.5,190.5,185.0,182.88,195.58,185.0,25.0,32.0
Curtis Blaydes,Derrick Lewis,Herb Dean,02/20_2021,"Las Vegas, Nevada, USA",Blue,False,Heavyweight,15,5,0,9,3,0,Orthodox,Orthodox,190.5,200.66,260.0,193.04,203.2,265.0,36.0,30.0
Eddie Wineland,John Castaneda,Jason Herzog,02/20_2021,"Las Vegas, Nevada, USA",Blue,False,Bantamweight,0,1,0,6,8,0,Switch,Orthodox,167.64,180.34,135.0,170.18,175.26,135.0,29.0,36.0
Andrei Arlovski,Tom Aspinall,Mark Smith,02/20_2021,"Las Vegas, Nevada, USA",Blue,False,Heavyweight,2,0,0,19,14,0,Orthodox,Orthodox,195.58,198.12,256.0,190.5,195.58,240.0,27.0,42.0
Jared Gordon,Danny Chavez,Herb Dean,02/20_2021,"Las Vegas, Nevada, USA",Red,False,Featherweight,1,0,0,4,3,0,Orthodox,Orthodox,172.72,170.18,145.0,175.26,172.72,145.0,33.0,32.0
Ketlen Vieira,Yana Kunitskaya,Jason Herzog,02/20_2021,"Las Vegas, Nevada, USA",Blue,False,WomenBantamweight,3,2,0,5,1,0,Orthodox,Orthodox,167.64,172.72,135.0,172.72,172.72,135.0,31.0,29.0
Aiemann Zahabi,Drako Rodriguez,Mark Smith,02/20_2021,"Las Vegas, Nevada, USA",Red,False,Bantamweight,0,0,0,1,2,0,Orthodox,Orthodox,172.72,175.26,135.0,172.72,172.72,135.0,24.0,33.0
Serghei Spivac,Jared Vanderaa,Chris Tognoni,02/20_2021,"Las Vegas, Nevada, USA",Red,False,Heavyweight,0,0,0,2,2,0,Orthodox,Orthodox,193.04,203.2,260.0,190.5,198.12,260.0,28.0,26.0
Nate Landwehr,Julian Erosa,Mark Smith,02/20_2021,"Las Vegas, Nevada, USA",Blue,False,Featherweight,2,4,0,1,1,0,Southpaw,Orthodox,185.42,187.96,145.0,175.26,182.88,145.0,31.0,32.0
Maycee Barber,Alexa Grasso,Keith Peterson,02/13_2021,"Las Vegas, Nevada, USA",Blue,False,WomenFlyweight,4,3,0,3,1,0,Orthodox,Switch,165.1,167.64,125.0,165.1,165.1,125.0,27.0,22.0
Belal Muhammad,Dhiego Lima,Herb Dean,02/13_2021,"Las Vegas, Nevada, USA",Red,False,Welterweight,4,5,0,8,3,0,Orthodox,Orthodox,187.96,190.5,170.0,180.34,182.88,170.0,32.0,32.0
Maki Pitolo,Julian Marquez,Mark Smith,02/13_2021,"Las Vegas, Nevada, USA",Blue,False,Middleweight,1,1,0,1,3,0,Orthodox,Orthodox,187.96,182.88,185.0,177.8,190.5,185.0,30.0,30.0
Kamaru Usman,Gilbert Burns,Herb Dean,02/13_2021,"Las Vegas, Nevada, USA",Red,True,Welterweight,12,3,0,12,0,0,Orthodox,Switch,177.8,180.34,170.0,182.88,193.04,170.0,34.0,33.0
Ricky Simon,Brian Kelleher,Keith Peterson,02/13_2021,"Las Vegas, Nevada, USA",Red,False,Featherweight,6,4,0,5,2,0,Switch,Orthodox,167.64,167.64,145.0,167.64,175.26,135.0,34.0,28.0
Kelvin Gastelum,Ian Heinisch,Mark Smith,02/13_2021,"Las Vegas, Nevada, USA",Red,False,Middleweight,3,2,0,10,7,0,Orthodox,Southpaw,180.34,182.88,185.0,175.26,180.34,185.0,32.0,29.0
Polyana Viana,Mallory Martin,Mark Smith,02/13_2021,"Las Vegas, Nevada, USA",Red,False,WomenStrawweight,1,1,0,2,3,0,Orthodox,Orthodox,162.56,160.02,115.0,165.1,170.18,115.0,27.0,28.0
Rodolfo Vieira,Anthony Hernandez,Keith Peterson,02/13_2021,"Las Vegas, Nevada, USA",Blue,False,Middleweight,1,2,0,2,0,0,Orthodox,Orthodox,182.88,190.5,185.0,182.88,185.42,185.0,27.0,31.0
Gabe Green,Philip Rowe,Mark Smith,02/13_2021,"Las Vegas, Nevada, USA",Red,False,Welterweight,0,0,0,0,1,0,Orthodox,Switch,190.5,203.2,170.0,177.8,185.42,170.0,30.0,27.0
Andre Ewell,Chris Gutierrez,Chris Tognoni,02/13_2021,"Las Vegas, Nevada, USA",Blue,False,CatchWeight,3,2,0,4,2,0,Orthodox,Southpaw,175.26,170.18,145.0,172.72,190.5,135.0,29.0,33.0
Alexandre Pantoja,Manel Kape,Keith Peterson,02/06_2021,"Las Vegas, Nevada, USA",Red,False,Flyweight,0,0,0,6,3,0,Southpaw,Orthodox,165.1,172.72,125.0,165.1,170.18,125.0,27.0,30.0
Karol Rosa,Joselyne Edwards,Mark Smith,02/06_2021,"Las Vegas, Nevada, USA",Red,False,WomenBantamweight,1,0,0,2,0,0,Orthodox,Orthodox,172.72,177.8,135.0,165.1,170.18,135.0,25.0,26.0
Devonte Smith,Justin Jaynes,Keith Peterson,02/06_2021,"Las Vegas, Nevada, USA",Red,False,CatchWeight,1,2,0,2,1,0,Orthodox,Orthodox,170.18,172.72,155.0,175.26,193.04,155.0,31.0,27.0
Michael Johnson,Clay Guida,Mark Smith,02/06_2021,"Las Vegas, Nevada, USA",Blue,False,Lightweight,15,14,0,11,12,0,Orthodox,Southpaw,170.18,177.8,155.0,177.8,185.42,155.0,39.0,34.0
Alistair Overeem,Alexander Volkov,Jason Herzog,02/06_2021,"Las Vegas, Nevada, USA",Blue,False,Heavyweight,6,2,0,12,7,0,Orthodox,Orthodox,200.66,203.2,250.0,193.04,203.2,265.0,32.0,40.0
Diego Ferreira,Beneil Dariush,Chris Tognoni,02/06_2021,"Las Vegas, Nevada, USA",Blue,False,Lightweight,13,5,0,8,2,0,Southpaw,Orthodox,177.8,182.88,155.0,175.26,187.96,155.0,31.0,36.0
Cory Sandhagen,Frankie Edgar,Keith Peterson,02/06_2021,"Las Vegas, Nevada, USA",Red,False,Bantamweight,18,9,0,6,1,0,Orthodox,Switch,167.64,172.72,135.0,180.34,177.8,135.0,39.0,28.0
Mike Rodriguez,Danilo Marques,Jason Herzog,02/06_2021,"Las Vegas, Nevada, USA",Blue,False,LightHeavyweight,1,0,0,2,4,0,Orthodox,Southpaw,198.12,195.58,205.0,193.04,208.28,205.0,35.0,32.0
Ode Osbourne,Jerome Rivera,Chris Tognoni,02/06_2021,"Las Vegas, Nevada, USA",Red,False,Featherweight,0,2,0,0,1,0,Southpaw,Southpaw,177.8,182.88,145.0,170.18,185.42,145.0,25.0,29.0
SeungWoo Choi,Youssef Zalal,Chris Tognoni,02/06_2021,"Las Vegas, Nevada, USA",Red,False,Featherweight,3,1,0,1,2,0,Switch,Orthodox,177.8,182.88,145.0,182.88,187.96,145.0,24.0,28.0
Molly McCann,Lara Procopio,Jason Herzog,02/06_2021,"Las Vegas, Nevada, USA",Blue,False,WomenFlyweight,0,1,0,3,2,0,Orthodox,Orthodox,162.56,170.18,125.0,162.56,157.48,125.0,25.0,30.0
Timur Valiev,Martin Day,Mark Smith,02/06_2021,"Las Vegas, Nevada, USA",Red,False,Featherweight,0,3,0,0,1,0,Orthodox,Orthodox,177.8,185.42,145.0,167.64,170.18,145.0,32.0,31.0
Dan Hooker,Michael Chandler,Marc Goddard,01/23_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,False,Lightweight,0,0,0,10,5,0,Orthodox,Switch,172.72,180.34,155.0,182.88,190.5,155.0,34.0,30.0
Andrew Sanchez,Makhmud Muradov,Jason Herzog,01/23_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,False,Middleweight,2,0,0,5,3,0,Orthodox,Orthodox,187.96,190.5,185.0,185.42,187.96,185.0,30.0,32.0
Julianna Pena,Sara McMann,Keith Peterson,01/23_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,WomenBantamweight,6,5,0,5,2,0,Orthodox,Orthodox,167.64,167.64,135.0,167.64,175.26,135.0,40.0,31.0
Jessica Eye,Joanne Calderwood,Keith Peterson,01/23_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,False,WomenFlyweight,6,5,0,5,8,0,Orthodox,Orthodox,167.64,165.1,125.0,167.64,167.64,125.0,35.0,34.0
Dustin Poirier,Conor McGregor,Herb Dean,01/23_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,Lightweight,10,2,0,18,6,0,Southpaw,Southpaw,175.26,187.96,155.0,175.26,182.88,155.0,32.0,32.0
Brad Tavares,Antonio Carlos Junior,Marc Goddard,01/23_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,Middleweight,7,5,0,12,6,0,Orthodox,Orthodox,187.96,200.66,185.0,185.42,187.96,185.0,30.0,33.0
Arman Tsarukyan,Matt Frevola,Lukasz Bosacki,01/23_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,Lightweight,2,2,0,2,1,0,Orthodox,Orthodox,175.26,180.34,155.0,170.18,182.88,155.0,30.0,24.0
Marina Rodriguez,Amanda Ribas,Herb Dean,01/23_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,WomenStrawweight,4,0,0,2,3,0,Orthodox,Orthodox,160.02,167.64,125.0,167.64,165.1,115.0,27.0,33.0
Amir Albazi,Zhalgas Zhumagulov,Jason Herzog,01/23_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,Flyweight,0,1,0,1,0,0,Switch,Orthodox,162.56,167.64,125.0,165.1,172.72,125.0,32.0,27.0
Khalil Rountree Jr.,Marcin Prachnio,Herb Dean,01/23_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,False,LightHeavyweight,0,3,0,4,5,0,Orthodox,Southpaw,190.5,187.96,205.0,185.42,193.04,205.0,32.0,30.0
Nik Lentz,Movsar Evloev,Lukasz Bosacki,01/23_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,False,CatchWeight,3,0,0,14,10,0,Orthodox,Orthodox,170.18,182.88,145.0,172.72,172.72,145.0,26.0,36.0
Omari Akhmedov,Tom Breese,Lukasz Bosacki,01/20_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,Middleweight,5,2,0,8,5,0,Southpaw,Orthodox,190.5,185.42,185.0,182.88,185.42,185.0,29.0,33.0
Warlley Alves,Mounir Lazzez,Herb Dean,01/20_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,Welterweight,1,0,0,7,4,0,Orthodox,Orthodox,185.42,193.04,170.0,180.34,182.88,170.0,33.0,30.0
Matt Schnell,Tyson Nam,Herb Dean,01/20_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,Flyweight,2,2,0,4,3,0,Orthodox,Orthodox,170.18,172.72,125.0,172.72,177.8,125.0,37.0,31.0
Roxanne Modafferi,Viviane Araujo,Keith Peterson,01/20_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,False,WomenFlyweight,3,1,0,4,5,0,Orthodox,Orthodox,162.56,172.72,125.0,170.18,175.26,125.0,34.0,38.0
Ike Villanueva,Vinicius Moreira,Jason Herzog,01/20_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,LightHeavyweight,0,3,0,0,2,0,Orthodox,Orthodox,193.04,193.04,205.0,185.42,185.42,225.0,31.0,36.0
Michael Chiesa,Neil Magny,Marc Goddard,01/20_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,Welterweight,17,6,0,10,4,0,Orthodox,Southpaw,190.5,203.2,170.0,185.42,190.5,170.0,33.0,33.0
Lerone Murphy,Douglas Silva de Andrade,Marc Goddard,01/20_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,Featherweight,4,3,0,1,1,0,Orthodox,Orthodox,170.18,172.72,145.0,175.26,185.42,145.0,35.0,29.0
Su Mudaerji,Zarrukh Adashev,Jason Herzog,01/20_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,Flyweight,0,1,0,2,1,0,Southpaw,Southpaw,165.1,165.1,125.0,172.72,182.88,125.0,28.0,25.0
Francisco Figueiredo,Jerome Rivera,Marc Goddard,01/20_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,Flyweight,0,1,0,0,0,0,Southpaw,Southpaw,177.8,182.88,145.0,167.64,175.26,135.0,25.0,31.0
Dalcha Lungiambula,Markus Perez,Herb Dean,01/20_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,Middleweight,2,4,0,1,1,0,Orthodox,Orthodox,185.42,185.42,185.0,172.72,193.04,185.0,32.0,33.0
Wu Yanan,Joselyne Edwards,Jason Herzog,01/16_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,False,WomenBantamweight,0,0,0,1,2,0,Orthodox,Orthodox,172.72,177.8,135.0,172.72,167.64,125.0,25.0,24.0
Punahele Soriano,Dusko Todorovic,Herb Dean,01/16_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,Middleweight,1,0,0,1,0,0,Orthodox,Southpaw,185.42,187.96,185.0,180.34,182.88,185.0,26.0,28.0
Carlos Felipe,Justin Tafa,Herb Dean,01/16_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,Heavyweight,1,1,0,1,1,0,Southpaw,Orthodox,182.88,187.96,264.0,182.88,190.5,245.0,27.0,26.0
Carlos Condit,Matt Brown,Marc Goddard,01/16_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,Welterweight,15,11,0,8,9,0,Orthodox,Orthodox,182.88,190.5,170.0,187.96,190.5,170.0,40.0,36.0
David Zawada,Ramazan Emeev,Jason Herzog,01/16_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,False,Welterweight,4,1,0,1,2,0,Southpaw,Orthodox,177.8,193.04,170.0,182.88,190.5,170.0,33.0,30.0
Joaquin Buckley,Alessio Di Chirico,Keith Peterson,01/16_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,False,Middleweight,3,5,0,2,1,0,Orthodox,Southpaw,182.88,187.96,185.0,177.8,193.04,185.0,31.0,26.0
Santiago Ponzinibbio,Li Jingliang,Jason Herzog,01/16_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,False,Welterweight,9,4,0,9,2,0,Orthodox,Orthodox,182.88,180.34,170.0,182.88,185.42,170.0,32.0,34.0
Max Holloway,Calvin Kattar,Herb Dean,01/16_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,False,Featherweight,6,2,0,17,6,0,Orthodox,Orthodox,180.34,182.88,145.0,180.34,175.26,145.0,32.0,29.0
Sarah Moras,Vanessa Melo,Keith Peterson,01/16_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,False,WomenBantamweight,0,3,0,3,5,0,Orthodox,Orthodox,165.1,165.1,135.0,170.18,170.18,135.0,32.0,32.0
Jacob Kilburn,Austin Lingo,Marc Goddard,01/16_2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,False,Featherweight,0,1,0,0,1,0,Orthodox,Orthodox,177.8,177.8,145.0,175.26,182.88,145.0,26.0,25.0
Marlon Moraes,Rob Font,Marc Goddard,12/19_2020,"Las Vegas, Nevada, USA",Blue,False,Bantamweight,7,3,0,5,3,0,Orthodox,Orthodox,172.72,180.34,135.0,167.64,170.18,135.0,33.0,32.0
Sijara Eubanks,Pannie Kianzad,Mark Smith,12/19_2020,"Las Vegas, Nevada, USA",Blue,False,WomenBantamweight,2,2,0,4,3,0,Orthodox,Orthodox,170.18,167.64,135.0,162.56,170.18,135.0,29.0,35.0
Deron Winn,Antonio Arroyo,Dan Miragliotta,12/19_2020,"Las Vegas, Nevada, USA",Red,False,CatchWeight,0,1,0,1,2,0,Orthodox,Orthodox,190.5,185.42,185.0,167.64,177.8,185.0,31.0,31.0
Stephen Thompson,Geoff Neal,Marc Goddard,12/19_2020,"Las Vegas, Nevada, USA",Red,False,Welterweight,5,0,0,10,5,0,Southpaw,Orthodox,180.34,190.5,170.0,182.88,190.5,170.0,30.0,37.0
Jose Aldo,Marlon Vera,Dan Miragliotta,12/19_2020,"Las Vegas, Nevada, USA",Red,False,Bantamweight,10,5,0,10,6,0,Switch,Orthodox,172.72,177.8,135.0,170.18,177.8,135.0,28.0,34.0
Anthony Pettis,Alex Morono,Marc Goddard,12/19_2020,"Las Vegas, Nevada, USA",Red,False,Welterweight,7,4,0,10,9,0,Orthodox,Orthodox,180.34,182.88,170.0,177.8,182.88,155.0,30.0,33.0
